_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
62de382d303adee4622146cb||78.4|95.19|80|80.32|196,1,0,0|time|30|-1|2|30|0|21.31|false|false|english|none|normal|false|false|false||1658730541000
62de2850303adee462118bd0||66|92.06|74|70.41|165,9,0,2|time|30|-1|5|30|0|12.87|false|false|english|none|normal|false|false|false||1658726480000
62de281d303adee462118abb||74.4|93.97|76|75.23|186,2,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1658726429000
62de27fc303adee462118a05||80.4|98.16|86.8|86.32|201,0,2,0|time|30|-1|7|30|0|30.59|false|false|english|none|normal|false|false|false||1658726396000
62de27b3303adee46211885c||68.4|89.64|72.8|76.03|171,7,0,1|time|30|-1|1|30|0|2.77|false|false|english|none|normal|false|false|false||1658726323000
62dd6c1d303adee4623ddd4a||75.2|95|77.2|70.93|188,2,0,0|time|30|-1|5|30|0|36.84|false|false|english|none|normal|false|false|false||1658678301000
62dd6b99303adee4623dda5e|true|52.71|100|52.89|50.28|587,0,0,0|zen|zen|-1|0|133.64|5|0|false|false|english|none|normal|false|false|false||1658678169000
62dd6b02303adee4623dd6f1||44.82|88.55|48.62|51.09|189,3,0,1|quote|4555|1|22|50.6|0|80.62|false|false|english|none|normal|false|false|false||1658678018000
62dd5697303adee46226403e|true|77.71|95.42|81.85|77.98|244,4,1,0|words|50|-1|0|37.68|0|0|false|false|english|none|normal|false|false|false||1658672791000
62dc2943303adee462d9834d|true|76.34|97.74|77.53|69.23|256,0,0,1|words|50|-1|6|40.24|0|19.23|false|false|english|none|normal|false|false|false||1658595651000
62dc28f5303adee462d5a810||84.8|98.15|84.8|78.97|106,0,0,0|time|15|-1|4|15|0|5.61|false|false|english|none|normal|false|false|false||1658595573000
62dc28d9303adee462d5a75f||71.2|95.1|79.2|73.59|89,0,2,0|time|15|-1|5|15|0|20.03|false|false|english|none|normal|false|false|false||1658595545000
62dbd85c303adee4627f3f6b|true|71.8|93.06|72.9|70.54|718,3,2,0|time|120|-1|3|120|0|23.84|false|false|english|none|normal|false|false|false||1658574940000
62dbd776303adee4627b61d0||78.4|92.86|88.8|79.92|98,3,1,2|time|15|-1|9|15|0|25.46|false|false|english|none|normal|false|false|false||1658574710000
62dbd6e5303adee4627b5ea7||86.4|97.3|86.4|86.22|108,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658574565000
62d8d654303adee462269e17||89.6|99.12|89.6|87.3|112,0,0,0|time|15|-1|4|15|0|10.81|false|false|english|none|normal|false|false|false||1658377812000
62d8d62a303adee46222c730||80|99.01|80|75.47|100,0,0,0|time|15|-1|9|15|0|37.17|false|false|english|none|normal|false|false|false||1658377770000
62d7c645303adee462f5e583||71.2|93.94|76|66.44|89,1,1,0|time|15|-1|10|15|0|22.11|false|false|english|none|normal|false|false|false||1658308165000
62d7c5e9303adee462f5e3ce||80.8|97.25|86.4|80.24|101,1,0,0|time|15|-1|2|15|0|13.49|false|false|english|none|normal|false|false|false||1658308073000
62d7c5b7303adee462f5e2dc||88|100|88|86.21|110,0,0,0|time|15|-1|1|15|0|5.57|false|false|english|none|normal|false|false|false||1658308023000
62d7c59a303adee462f5e242||85.6|96.46|85.6|81.95|107,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1658307994000
62d7c569303adee462f5e159||68.75|91.84|75.95|73.28|86,2,1,1|time|15|-1|2|15.01|0|14.86|false|false|english|none|normal|false|false|false||1658307945000
62d7c544303adee462f5e09d||83.2|98.11|83.2|82.5|104,0,0,0|time|15|-1|1|15|0|9.51|false|false|english|none|normal|false|false|false||1658307908000
62d7c524303adee462f5e005||84|100|84|79.8|105,0,0,0|time|15|-1|2|15|0|9.53|false|false|english|none|normal|false|false|false||1658307876000
62d7c4e6303adee462f5dee7||68.8|89.32|81.6|75.71|86,6,2,1|time|15|-1|16|15|0|50.83|false|false|english|none|normal|false|false|false||1658307814000
62d7c445303adee462f5dbe9|true|96.8|100|96.8|89.42|121,0,0,0|time|15|-1|4|15|0|8.88|false|false|english|none|normal|false|false|false||1658307653000
62d7c402303adee462f3f18e|true|84.8|98.6|84.8|83.46|212,0,0,0|time|30|-1|3|30|0|14.59|false|false|english|none|normal|false|false|false||1658307585000
62d75dd8303adee46280ecde||74.4|93.94|76.8|68.08|186,4,1,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1658281432000
62d75d31303adee46280e97b|true|78.37|97.07|79.97|75.78|196,1,0,0|time|30|-1|2|30.01|0|9.12|false|false|english|none|normal|false|false|false||1658281265000
62d67a68303adee462872000|true|60.38|93.37|60.38|46.81|151,0,0,0|time|30|-1|2|30.01|1|10.92|false|false|english|none|normal|false|false|false||1658223208000
